brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
47983,for_sale,950000,4,2,0.49,6927,Rincon,Puerto Rico,677,2450,
47983,for_sale,349000,3,2,,1966335,Rincon,Puerto Rico,677,1688,
72457,for_sale,39900,3,1,,1862028,Arecibo,Puerto Rico,612,878,
72457,for_sale,29900,3,1,,1862027,Arecibo,Puerto Rico,612,878,
60830,for_sale,475000,1,3,0.13,1427607,Arecibo,Puerto Rico,612,10000,
60831,for_sale,200000,4,3,0.24,1946165,Arecibo,Puerto Rico,612,3413,
103378,for_sale,84900,4,2,0.1,1840770,Arecibo,Puerto Rico,612,,
52707,for_sale,148000,5,2,0.49,1902831,Arecibo,Puerto Rico,612,2058,
49592,for_sale,39500,1,1,0.14,1946165,Arecibo,Puerto Rico,612,800,
33888,for_sale,220000,6,3,0.45,1856978,Arecibo,Puerto Rico,612,2900,
52707,for_sale,75000,3,2,0.27,1856974,Arecibo,Puerto Rico,612,1100,
60830,for_sale,110000,4,2,0.13,1856516,Arecibo,Puerto Rico,612,1000,
60831,for_sale,150000,7,4,0.49,1946210,Arecibo,Puerto Rico,612,800,
103378,for_sale,69900,4,2,0.09,1840775,Arecibo,Puerto Rico,612,,
52707,for_sale,79000,6,3,0.09,1855343,Arecibo,Puerto Rico,612,2472,
52707,for_sale,65000,3,1,0.09,1856972,Arecibo,Puerto Rico,612,1044,
60830,for_sale,179000,5,3,0.08,1855451,Arecibo,Puerto Rico,612,2200,
62210,for_sale,145000,3,2,0.86,1427895,Arecibo,Puerto Rico,612,3500,
1589,for_sale,79000,3,1,0.13,821104,Arecibo,Puerto Rico,612,1262,
80224,for_sale,360000,5,2,0.42,1567105,Arecibo,Puerto Rico,612,6000,
29911,for_sale,50000,,,0.03,1967771,Arecibo,Puerto Rico,612,,
103378,for_sale,134900,,,0.25,1840769,Arecibo,Puerto Rico,612,1856,
92147,for_sale,94600,3,1,0.08,1992381,Arecibo,Puerto Rico,612,1009,
103378,for_sale,59900,,,0.34,1840776,Arecibo,Puerto Rico,612,,
1589,for_sale,239000,7,3,0.31,1551669,Arecibo,Puerto Rico,612,2715,
33888,for_sale,279000,3,3,0.19,1902853,Arecibo,Puerto Rico,612,2872,
52707,for_sale,100000,3,1,4.89,1900756,Arecibo,Puerto Rico,612,1028,
33888,for_sale,89000,,,1.48,1856938,Arecibo,Puerto Rico,612,,
40689,for_sale,168000,4,3,0.25,1902837,Arecibo,Puerto Rico,612,1600,
92147,for_sale,150000,3,2,0.29,1509489,Arecibo,Puerto Rico,612,1604,
88444,for_sale,60000,,,0.26,1850825,Arecibo,Puerto Rico,612,,
33888,for_sale,140000,8,2,0.13,918510,Arecibo,Puerto Rico,612,1500,
109906,for_sale,70000,2,1,0.1,1855345,Arecibo,Puerto Rico,612,680,
104635,for_sale,80000,3,1,0.06,982996,Arecibo,Puerto Rico,612,750,
38569,for_sale,135000,5,2,0.13,1437193,Arecibo,Puerto Rico,612,1500,
92147,for_sale,215000,3,3,0.24,1449539,Arecibo,Puerto Rico,612,2183,
103378,for_sale,42900,,,0.17,1855937,Camuy,Puerto Rico,612,,
103378,for_sale,49900,,,0.25,1840772,Arecibo,Puerto Rico,612,,
62210,for_sale,138000,3,2,0.25,199310,Arecibo,Puerto Rico,612,1000,
52707,for_sale,289000,5,4,0.2,1856979,Arecibo,Puerto Rico,612,2832,
62210,for_sale,132000,3,2,0.25,1725570,Arecibo,Puerto Rico,612,1000,
52707,for_sale,197000,4,4,0.14,1856909,Arecibo,Puerto Rico,612,1500,
8586,for_sale,1200000,,,0.71,1946308,Arecibo,Puerto Rico,612,,
40689,for_sale,185000,5,3,0.07,869853,Manati,Puerto Rico,674,1700,
33888,for_sale,200000,6,4,0.37,1855347,Hatillo,Puerto Rico,659,3400,
1589,for_sale,210000,3,2,0.25,913609,Morovis,Puerto Rico,687,2500,
92147,for_sale,105000,3,1,0.08,1869494,Manati,Puerto Rico,674,921,
103379,for_sale,113600,3,1,0.07,1837500,Manati,Puerto Rico,674,800,
103378,for_sale,174900,3,2,0.08,1985068,Barceloneta,Puerto Rico,617,1195,
